sprint_id,sprint_name,state,start_date,end_date,complete_date,activated_date
7658.0,June Sprint 2,closed,2018-06-19T21:44:14.274Z,2018-07-04T21:44:00.000Z,2018-07-13T07:00:05.017Z,2018-06-19T21:44:14.274Z
7712.0,2018 Week 27-29,closed,2018-07-02T04:01:33.561Z,2018-07-23T04:01:00.000Z,2018-07-23T09:55:10.244Z,2018-07-02T04:01:33.561Z
7714.0,2018 Week 30-32,closed,2018-07-23T04:01:07.842Z,2018-08-13T04:01:00.000Z,2018-08-13T09:15:00.207Z,2018-07-23T04:01:07.842Z
7762.0,2018 Week 33-35,closed,2018-08-13T04:01:58.187Z,2018-09-03T04:01:00.000Z,2018-09-03T10:52:31.448Z,2018-08-13T04:01:58.187Z
7764.0,2018 Week 36-38,closed,2018-09-03T04:01:12.100Z,2018-09-24T04:01:00.000Z,2018-09-24T11:00:09.328Z,2018-09-03T04:01:12.100Z
7912.0,2018 Week 39-41,closed,2018-09-24T04:01:11.696Z,2018-10-15T04:01:00.000Z,2018-10-15T10:46:39.230Z,2018-09-24T04:01:11.696Z
7914.0,2018 Week 42-44,closed,2018-10-15T04:01:19.963Z,2018-11-05T05:01:00.000Z,2018-11-05T11:22:50.376Z,2018-10-15T04:01:19.963Z
7916.0,2018 Week 45-47,closed,2018-11-05T05:01:39.266Z,2018-11-26T05:01:00.000Z,2018-11-26T12:00:59.716Z,2018-11-05T05:01:39.266Z
7918.0,2018 Week 48-50,closed,2018-11-26T05:01:18.885Z,2018-12-17T05:01:00.000Z,2018-12-17T12:00:02.753Z,2018-11-26T05:01:18.885Z
8160.0,2018 Week 51-01,closed,2018-12-17T05:01:45.388Z,2019-01-07T05:01:00.000Z,2019-01-07T11:55:23.389Z,2018-12-17T05:01:45.388Z
8158.0,2019 Week 02-04,closed,2019-01-07T05:01:30.817Z,2019-01-28T05:01:00.000Z,2019-01-28T11:26:59.009Z,2019-01-07T05:01:30.817Z
8162.0,2019 Week 05-07,closed,2019-01-28T05:01:18.162Z,2019-02-18T05:01:00.000Z,2019-02-18T11:49:57.388Z,2019-01-28T05:01:18.162Z
8164.0,2019 Week 08-10,closed,2019-02-18T05:01:41.585Z,2019-03-11T04:01:00.000Z,2019-03-11T11:53:08.735Z,2019-02-18T05:01:41.585Z
8166.0,2019 Week 11-13,closed,2019-03-11T04:01:55.289Z,2019-04-01T04:01:00.000Z,2019-04-01T11:06:41.034Z,2019-03-11T04:01:55.289Z
3262.0,Sprint 6.2 - 1,closed,2015-07-28T11:37:13.420Z,2015-08-25T11:37:00.000Z,2015-08-25T11:13:05.961Z,2015-07-28T11:37:13.420Z
3342.0,Sprint 6.2 - 2,closed,2015-08-25T11:13:48.321Z,2015-09-08T11:13:00.000Z,2015-09-08T11:13:21.381Z,2015-08-25T11:13:48.321Z
3352.0,Sprint 6.2 - 3,closed,2015-09-08T11:13:05.861Z,2015-09-22T11:13:00.000Z,2015-09-22T11:08:28.892Z,2015-09-08T11:13:05.861Z
3362.0,Sprint 6.2 - 4,closed,2015-09-22T11:08:56.117Z,2015-10-06T11:08:00.000Z,2015-10-05T11:09:29.335Z,2015-09-22T11:08:56.117Z
3372.0,Sprint 6.2 - 5,closed,2015-10-05T11:09:46.319Z,2015-10-19T11:09:00.000Z,2015-10-20T11:11:38.422Z,2015-10-05T11:09:46.319Z
